Race,Republican,Rinfo,Democrat,Dinfo,Incumbent,Preferred,Double,Potential,Link
U.S. SENATE,Todd Young,Has consistently voted against clean energy and climate solutions.,Thomas M. McDermott Jr.,A strong advocate for clean energy and climate solutions.,R,D,,,https://drive.google.com/file/d/1h09qOGcc_-0fSXFuBGUlCmlNUfKMWcMd/view?usp=sharing
U.S. HOUSE DISTRICT 1,Jennifer-Ruth Green,Clean energy and climate are not top priorities.,Frank J. Mrvan,Has consistently voted to support clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/1zX7TjsChCT3BwaV6RRAZqG75B_0CCYMq/view?usp=sharing
U.S. HOUSE DISTRICT 2,Rudy Yakym,Clean energy and climate are not top priorities.,Paul Steury,A strong advocate for clean energy and climate.,,D,,,https://drive.google.com/file/d/1cZIDSaUND7GANm3oDxzbyX448qvQMQbw/view?usp=sharing
U.S. HOUSE DISTRICT 3,Jim Banks,Has consistently voted against clean energy and climate solutions.,Gary L. Snyder,A strong advocate for clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/1YbDhXxdaVG7mMoFjrQNdrzIjxFVPMBSD/view?usp=sharing
U.S. HOUSE DISTRICT 4,Jim Baird,Has consistently voted against clean energy and climate solutions.,Roger D. Day,A strong advocate for clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/15KW9wBPD5wrBOokGYAzVxu5PmzvOodeM/view?usp=sharing
U.S. HOUSE DISTRICT 5,Victoria Spartz,Has consistently voted against clean energy and climate solutions.,Jeannine Lee Lake,A strong advocate for clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/1-peTMJNzCzq-hxtk-NeKB0vIxoxMiDMG/view?usp=sharing
U.S. HOUSE DISTRICT 6,Greg Pence,Has consistently voted against clean energy and climate solutions.,Cynthia (Cinde) Wirth,A strong advocate for clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/17liDqOWK91FAeIFGP95qOLGZg21hZkdC/view?usp=sharing
U.S. HOUSE DISTRICT 7,Angela Grabovsky,Clean energy and climate are not top priorities.,André D. Carson,Has consistently voted to support clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/1DRbKSSAmhX3rbm5dCmRDhCHnFa5H5QEr/view?usp=sharing
U.S. HOUSE DISTRICT 8,Larry D. Bucshon,Has consistently voted against clean energy and climate solutions.,Ray McCormick,A strong advocate for clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/13u_dKL5Ve716y-dvRzut18nKxk2ZL6bu/view?usp=sharing
U.S. HOUSE DISTRICT 9,Erin Houchin,Has consistently voted against clean energy and climate solutions.,Matthew Fyfe,A strong advocate for clean energy and climate solutions.,,D,,,https://drive.google.com/file/d/1jO5KEYsHqZf6ogf4DBza2Pk2ILDGdct3/view?usp=sharing
INDIANA STATE SENATE DISTRICT 4,Jeff Larson,Clean energy and climate are not priorities.,Rodney Pol Jr.,Supports clean energy and climate solutions.,D,D,,,https://drive.google.com/file/d/1tL6fn_2shXfF2MAfMBcZpmQOjYw6UeFn/view?usp=sharing
INDIANA STATE SENATE DISTRICT 21,James. Buck,Has voted for several anti-climate bills.,Josh Lowry,A strong advocate for clean energy and climate solutions.,R,D,,,https://drive.google.com/file/d/182-a2KZbhFp7U-KD1l40ZphpLTjG-JR3/view?usp=sharing
INDIANA STATE SENATE DISTRICT 23,Spencer Deery,Accepts climate science & reducing carbon emissions.,David Sanders,Has voted for clean energy and climate solutions.,,BOTH,D,,https://drive.google.com/file/d/1AHmCIhaXehxzQCNDfBOlC3WCcSGZ7qmn/view?usp=sharing
