Race,Name1,Party1,Preferred1,Potential1,Double1,Incumbent1,Uncontested1,Info1,Name2,Party2,Preferred2,Potential2,Double2,Incumbent2,Uncontested2,Info2,Name3,Party3,Preferred3,Potential3,Double3,Incumbent3,Uncontested3,Info3,Name4,Party4,Preferred4,Potential4,Double4,Incumbent4,Uncontested4,Info4,Name5,Party5,Preferred5,Potential5,Double5,Incumbent5,Uncontested5,Info5,RaceInfo,Link
Carmel Mayor,Sue Finkam,R,Y,,,,,,Fred Glynn,R,,,,,,,Kevin "Woody" Rider,R,,Y,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1yqXP2yCA_6Y4mGb7MYv8OyL08xhZx9Rj&usp=drive_copy
Carmel City Council At Large (3 to be elected),Jonathan K. Blake,R,,,,,,,Matthew J. Snyder,R,,Y,,,,,Rich Taylor,R,Y,,,,,,Jeff Worrell,R,,Y,,,,,,,,,,,,,,https://drive.google.com/open?id=1WYw-RO6AZ1tvaT7S9_tVXKTPBAfK8IPB&usp=drive_copy
Carmel City Council North Central District,Teresa Ayers,R,,,,,,,Chuck Ford,R,,,,,,,Leah York,R,Y,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1sgT12tWsSCalSFxerZRMAqEwKrakiGmt&usp=drive_copy
Carmel City Council Northeast District,Jason Engle,R,,,,,,,Shannon Minnaar,R,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1O3C3--az8Uv1WCKn-MBh6l29_bs8RdAl&usp=drive_copy
Carmel City Council Northwest District,Sheldon Barnes,R,,,,,,,Ryan Locke,R,Y,,,,,,Danny Niederberger,R,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1pNjd1e4W6HlnWDRq3c2dTP8Nx1UqdnEL&usp=drive_copy
Carmel City Council West District,Loren Matthes,R,Y,,,,,,Ven Tadikonda,R,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1nRbJ8kZSWXy-3kyDhv4J-kMCEO-PfxdS&usp=drive_copy
Columbus Mayor,Mary Ferdon,R,Y,,,,,,Milo Smith,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1ZmoMQb7XybHGKDxYPYSnS18Gl491s5Dl&usp=drive_copy
Evansville Mayor,Cheryl A. W. Musgrave,R,,,,,,,Natalie Rascher,R,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1rxBPG-W2iyZGBgYUQyxDjbIOAM0uwlRE&usp=drive_copy
Lebanon Mayor,Matthew T Gentry,R,,,,,,,Kevin Van Horn,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We regret that neither candidate is a strong advocate for climate solutions.,https://drive.google.com/open?id=10EM9qC6hmc4xeHcxWt314q28CSHNurjM&usp=drive_copy
Noblesville Council At Large (3 to be elected),Evan Elliott,R,,,,,,,Mike Field,R,,,,,,,Nick Gomillion,R,Y,,,,,,Darren Peterson,R,Y,,,,,,Pete Schwartz,R,,,,,,,,https://drive.google.com/open?id=1gGW9fPRr338INskvsoizul9TBMYxr-VI&usp=drive_copy
